Date,cash,gold,equities,short_bonds
2020-04-08,,13.779999732971191,18.938386917114258,23.558040618896484
2020-04-09,,14.100000381469727,19.280385971069336,23.634794235229492
2020-04-13,,14.420000076293945,19.143583297729492,23.745681762695312
2020-04-14,,14.5,19.39153480529785,23.79684829711914
2020-04-15,,14.449999809265137,19.006778717041016,23.94184684753418
2020-04-16,,14.430000305175781,18.887081146240234,23.899198532104492
2020-04-17,,14.140000343322754,19.528335571289062,23.856557846069336
2020-04-20,,14.180000305175781,19.562538146972656,23.899198532104492
2020-04-21,,14.119999885559082,18.972583770751953,23.890666961669922
2020-04-22,,14.399999618530273,19.451385498046875,23.848026275634766
2020-04-23,,14.5,19.40008544921875,23.916259765625
2020-04-24,,14.460000038146973,19.622385025024414,23.944459915161133
2020-04-27,,14.369999885559082,19.921634674072266,23.927371978759766
2020-04-28,,14.3100004196167,20.126842498779297,23.944459915161133
2020-04-29,,14.359999656677246,20.725343704223633,23.944459915161133
2020-04-30,,14.149999618530273,20.143939971923828,23.978639602661133
2020-05-01,,14.25,19.9045352935791,23.987186431884766
2020-05-04,,14.279999732971191,20.049894332885742,23.987186431884766
2020-05-05,,14.319999694824219,20.169593811035156,24.004281997680664
